Year,0-14,15-49,50-64,65-79,80+
2010,9.29729182357297,15.4092010911185,13.667462010214997,33.0696252602799,28.555154016063
2011,8.95528898582334,14.913226359246,13.800903567533801,32.8032403801216,29.5260944072285
2012,8.68965601784882,14.3991958221982,13.917424669625099,32.5017775271533,30.4919459631745
2013,8.43326909251282,13.807748772074,14.003491961842208,32.227545416648994,31.527944756922
2014,8.19979522834421,13.2405114529263,13.988761369589,32.02592980618131,32.5444068765179
2015,7.93668493890343,12.6976394774219,13.832709260150494,31.970936579296406,33.5620297442278
2016,7.64165355059717,12.1666975280067,13.654985649476899,31.955953152485897,34.5795528191834
2017,7.24158756566428,11.721572068325,13.508893877411495,31.950727577287203,35.5789281766697
2018,6.63582591860969,11.2383010574775,13.385897673999708,32.069312892895994,36.6706624570171
2019,5.99964502423819,10.7968096553407,13.306044571644094,32.2623049019934,37.6351958467836
2020,3.886828407865,9.45445811973888,13.564920901152092,32.0049136566582,41.0892726370745
2021,3.86813809989745,9.502426008020716,13.48553318158137,32.685641808495006,40.458676888566984
2022,3.8494477919299,9.550393896302552,13.40614546201065,33.3663699603318,39.82808114005946
2023,3.83075748396235,9.59836178458439,13.326757742439929,34.047098112168605,39.19748539155194
2024,3.8120671759948,9.646329672866225,13.247370022869209,34.7278262640054,38.56688964304442
2025,3.79337686802725,9.69429756114806,13.167982303298487,35.408554415842204,37.9362938945369
2026,3.5009535575787,9.34241296642203,12.931613497864902,35.716001627666394,38.508528089502
2027,3.23511485276751,8.98822901984686,12.70856348329579,35.95910631975931,39.1080339796579
2028,2.98642701283331,8.63058914900699,12.515718036909703,36.14270128333149,39.7241022227153
2029,2.76062200334594,8.26347681391479,12.359333862583412,36.069735419834295,40.5468319003216
2030,2.55075413600543,7.88320025050885,12.236226362576701,35.685767966181295,41.6440512847277
2031,2.35769576729632,7.48820729817271,12.103936249730793,35.246770467780706,42.8033902170195
2032,2.17965356445412,7.09329031888283,11.968033931196004,34.7815228916847,43.9774992937824
2033,2.02977586733823,6.70175313257842,11.837316282263501,34.3648913073678,45.0658665047291
2034,1.89612657770118,6.29041627075872,11.696050409500202,34.030644236798494,46.0859931294744
2035,1.77762702261452,5.87597240186522,11.560725960660406,33.741366264224894,47.0439356043522
2036,1.67042889390519,5.47647855530474,11.4080361173815,33.46781038374719,47.9772460496614
2037,1.57324537445551,5.10770760676219,11.269030911662995,33.167710127876504,48.8826561340112
2038,1.48088031050607,4.76523581686119,11.142427339746703,32.773602909466305,49.8381931969832
2039,1.39781866545518,4.44167909428198,11.011031771898104,32.331223107792695,50.8195641939827
2040,1.31928734838899,4.13583323747811,10.86391114860119,31.876333985148804,51.804314762982
2041,1.24788297258566,3.85717742085574,10.684707152295701,31.412654395662393,52.7975780586005
2042,1.17860380779692,3.60749752261275,10.47189332626509,31.006045126098307,53.7362614193245
2043,1.1171727589157,3.39224395560608,10.226247260538898,30.721811384438702,54.5422316500053
2044,1.05652975873148,3.20009350830029,9.92128767771571,30.537587200766296,55.2842167682049
2045,1.0007715321296,3.03201025749191,9.560337697947901,30.4638628782034,55.9435726933132
2046,0.946661402930026,2.88081422074165,9.136999561956102,30.357519482134897,56.677464537377
2047,0.894651317747385,2.74426456606646,8.693155930587508,30.2664464934251,57.4014816921736
2048,0.845943781697226,2.6189351785311,8.236145617313099,30.1880787631152,58.1111533170441
2049,0.79886618991319,2.50358065024108,7.735454311402904,30.081211397090996,58.8813873676159
2050,0.752022614289892,2.39545764694415,7.2083049030120065,29.9770932839458,59.6671215518082
2051,0.709413499274679,2.29514735525044,6.689807285496201,29.828131046812302,60.4775008131664
2052,0.667678300455235,2.20088266978651,6.203709066478211,29.724426322556695,61.2035353125833
2053,0.629328610733373,2.11342371931854,5.759508825509201,29.711267828341995,61.7866969057633
2054,0.591753781077538,2.02861832321741,5.326444960949999,29.671627322897997,62.3815556118571
2055,0.555220251685528,1.9450965567753,4.917082097422394,29.5899102411825,62.9929056383315
2056,0.521779963565545,1.86343997434075,4.546550361514505,29.42113659566349,63.646883470539
2057,0.49022414921466,1.78317244764398,4.224271924083794,29.169052683246107,64.3332787958115
2058,0.461656937422941,1.70677402750789,3.9589975221352063,28.81964256500909,65.053128453948
2059,0.435284746337084,1.63207435091936,3.7341004212620987,28.2896133463951,65.9091218933621
2060,0.410540367587439,1.55861023920338,3.5476992079723004,27.564120822675804,66.9188394733994
